message,label,fraud_type
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
We detected suspicious login. Please share the OTP sent to your mobile to secure your Kotak Mahindra Bank account.,Scam,OTP Fraud
"Dear customer, complete your e-KYC at http://sbi-secure-login.in within 24 hours to avoid permanent account block.",Scam,KYC Update Scam
Your Kotak Mahindra Bank KYC has expired. Click http://income-tax-refund.xyz to update immediately or account will be suspended.,Scam,KYC Update Scam
"Earn Rs. 5000 daily by liking YouTube videos. Join now, small joining fee required for training kit.",Scam,Job Scam
Your PAN card will be deactivated. Update details at http://sbi-secure-login.in within 2 hours to avoid penalty.,Scam,Phishing Link
URGENT: Axis Bank KYC update pending. Share the 6 digit OTP now or your account will be frozen today.,Scam,OTP Fraud
Your loan application is approved. Pay insurance amount of Rs.4999 to get funds credited today.,Scam,Loan Scam
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
"Congratulations! You have won Rs. 1,00,000 in the KBC Lucky Draw. Pay processing fee to claim your prize.",Scam,Lottery Scam
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
"Hi Sneha, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
"Congratulations Amit, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
"Congratulations Rohit, you have successfully completed your Infosys certification course.",Safe,Not Applicable
"Your ICICI Bank credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
"Dear winner, your mobile number has won a lottery of Rs. 50,000. Send your bank details to claim now.",Scam,Lottery Scam
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
"Work from home and earn Rs. 50,000 per month! No experience needed, just pay Rs. 999 registration fee.",Scam,Job Scam
"Income tax refund of Rs. 50,000 is pending. Claim it now at http://kyc-update24.com before it expires today.",Scam,Phishing Link
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
"Congratulations Vikram, you have successfully completed your Reliance certification course.",Safe,Not Applicable
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
Your Aadhaar linked bank account needs KYC verification. Visit http://gov-refund.co.in and enter your details now.,Scam,KYC Update Scam
"Your Bank of Baroda account has been credited with Rs. 10,000 on your salary date. Available balance updated.",Safe,Not Applicable
"Double your money in 7 days! Invest Rs. 2,50,000 in our crypto trading plan, guaranteed high returns.",Scam,Investment Scam
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
"Dear customer, your ATM card is blocked. Share OTP received on your phone to reactivate it now.",Scam,OTP Fraud
Your account is temporarily locked. Reply with the OTP to verify your identity and unlock it.,Scam,OTP Fraud
Your Aadhaar linked bank account needs KYC verification. Visit http://kyc-update24.com and enter your details now.,Scam,KYC Update Scam
"Income tax refund of Rs. 5,000 is pending. Claim it now at http://hdfc-reward.net before it expires today.",Scam,Phishing Link
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
"Your electricity bill is unpaid, disconnection tonight. Pay immediately at http://income-tax-refund.xyz to avoid cut-off.",Scam,Phishing Link
"Dear Vikram, your OTP for login is 482913. Do not share this with anyone. -PNB",Safe,Not Applicable
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
Your Canara Bank account will be blocked. Share the OTP sent to your number immediately to avoid suspension.,Scam,OTP Fraud
Your HDFC Bank account will be blocked. Share the OTP sent to your number immediately to avoid suspension.,Scam,OTP Fraud
Your PNB statement for last month is now available on net banking. Please review at your convenience.,Safe,Not Applicable
"Income tax refund of Rs. 10,000 is pending. Claim it now at http://kyc-update24.com before it expires today.",Scam,Phishing Link
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
Your loan application is approved. Pay insurance amount of Rs.4999 to get funds credited today.,Scam,Loan Scam
You've won a brand new iPhone in our anniversary lucky draw! Click the link to claim your free gift.,Scam,Lottery Scam
"Get a loan at 0% interest, Rs. 25,000 approved for you. Send processing charges via UPI now.",Scam,Loan Scam
Your PAN card will be deactivated. Update details at http://kyc-update24.com within 2 hours to avoid penalty.,Scam,Phishing Link
RBI mandates KYC update. Verify your Kotak Mahindra Bank account at http://hdfc-reward.net now to continue banking services.,Scam,KYC Update Scam
Your HDFC Bank account will be blocked. Share the OTP sent to your number immediately to avoid suspension.,Scam,OTP Fraud
"Dear customer, your ATM card is blocked. Share OTP received on your phone to reactivate it now.",Scam,OTP Fraud
Your parcel is on hold due to unpaid customs duty. Pay Rs.199 at http://income-tax-refund.xyz to release delivery.,Scam,Phishing Link
Amazon is hiring urgently. Deposit Rs. 2000 refundable security fee to confirm your job offer.,Scam,Job Scam
"Join our stock tips group, invest Rs. 50,000 today and earn 300% guaranteed profit in one week.",Scam,Investment Scam
"Congratulations Amit, you have successfully completed your Infosys certification course.",Safe,Not Applicable
"Dear winner, your mobile number has won a lottery of Rs. 10,000. Send your bank details to claim now.",Scam,Lottery Scam
TCS is hiring urgently. Deposit Rs. 2000 refundable security fee to confirm your job offer.,Scam,Job Scam
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
"Your SBI account has been credited with Rs. 5,000 on your salary date. Available balance updated.",Safe,Not Applicable
"Instant personal loan of Rs. 50,000 approved! No documents required. Pay processing fee to disburse loan.",Scam,Loan Scam
Your Axis Bank account will be blocked. Share the OTP sent to your number immediately to avoid suspension.,Scam,OTP Fraud
"Your ICICI Bank credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
"Get a loan at 0% interest, Rs. 1,00,000 approved for you. Send processing charges via UPI now.",Scam,Loan Scam
"Earn Rs. 5000 daily by liking YouTube videos. Join now, small joining fee required for training kit.",Scam,Job Scam
"Exclusive IPO allotment guaranteed. Deposit Rs. 10,000 now to secure your shares before it's too late.",Scam,Investment Scam
Your Canara Bank KYC has expired. Click http://bit.ly/verify-kyc to update immediately or account will be suspended.,Scam,KYC Update Scam
"Exclusive IPO allotment guaranteed. Deposit Rs. 25,000 now to secure your shares before it's too late.",Scam,Investment Scam
Reminder from school: parent-teacher meeting is scheduled this Saturday at 10 AM.,Safe,Not Applicable
You've won a brand new iPhone in our anniversary lucky draw! Click the link to claim your free gift.,Scam,Lottery Scam
"Congratulations Anjali, you have successfully completed your Reliance certification course.",Safe,Not Applicable
Your order from TCS has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
Your HDFC Bank account will be blocked. Share the OTP sent to your number immediately to avoid suspension.,Scam,OTP Fraud
"Hi Rahul, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
"Earn Rs. 5000 daily by liking YouTube videos. Join now, small joining fee required for training kit.",Scam,Job Scam
"Congratulations Kavita, you have successfully completed your Infosys certification course.",Safe,Not Applicable
"Your HDFC Bank credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
"Congrats! Your number won Rs. 50,000 cash prize from Google Lucky Draw. Pay Rs.500 fee to release amount.",Scam,Lottery Scam
We detected suspicious login. Please share the OTP sent to your mobile to secure your SBI account.,Scam,OTP Fraud
"Work from home and earn Rs. 25,000 per month! No experience needed, just pay Rs. 999 registration fee.",Scam,Job Scam
Your Kotak Mahindra Bank KYC has expired. Click http://gov-refund.co.in to update immediately or account will be suspended.,Scam,KYC Update Scam
"Congratulations Anjali, you have successfully completed your Reliance certification course.",Safe,Not Applicable
"Pre-approved loan of Rs. 10,000 for Rahul. Transfer Rs. 999 GST fee to release the amount instantly.",Scam,Loan Scam
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
Your ICICI Bank KYC has expired. Click http://hdfc-reward.net to update immediately or account will be suspended.,Scam,KYC Update Scam
Your Axis Bank statement for last month is now available on net banking. Please review at your convenience.,Safe,Not Applicable
TCS is hiring urgently. Deposit Rs. 2000 refundable security fee to confirm your job offer.,Scam,Job Scam
"Dear Kavita, your OTP for login is 482913. Do not share this with anyone. -HDFC Bank",Safe,Not Applicable
Amazon is hiring urgently. Deposit Rs. 2000 refundable security fee to confirm your job offer.,Scam,Job Scam
Your loan application is approved. Pay insurance amount of Rs.4999 to get funds credited today.,Scam,Loan Scam
"Work from home and earn Rs. 2,50,000 per month! No experience needed, just pay Rs. 999 registration fee.",Scam,Job Scam
Thank you for shopping with Amazon. Your invoice has been emailed to you.,Safe,Not Applicable
"Dear customer, your ATM card is blocked. Share OTP received on your phone to reactivate it now.",Scam,OTP Fraud
"Double your money in 7 days! Invest Rs. 2,50,000 in our crypto trading plan, guaranteed high returns.",Scam,Investment Scam
URGENT: Axis Bank KYC update pending. Share the 6 digit OTP now or your account will be frozen today.,Scam,OTP Fraud
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
"Dear Rahul, your OTP for login is 482913. Do not share this with anyone. -ICICI Bank",Safe,Not Applicable
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
You've won a brand new iPhone in our anniversary lucky draw! Click the link to claim your free gift.,Scam,Lottery Scam
Wipro is hiring urgently. Deposit Rs. 2000 refundable security fee to confirm your job offer.,Scam,Job Scam
"Your Bank of Baroda account has been credited with Rs. 50,000 on your salary date. Available balance updated.",Safe,Not Applicable
"Your ICICI Bank credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
Your order from Amazon has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
"Dear customer, complete your e-KYC at http://income-tax-refund.xyz within 24 hours to avoid permanent account block.",Scam,KYC Update Scam
"Your Kotak Mahindra Bank account has been credited with Rs. 2,50,000 on your salary date. Available balance updated.",Safe,Not Applicable
"Congrats! Your number won Rs. 1,00,000 cash prize from Google Lucky Draw. Pay Rs.500 fee to release amount.",Scam,Lottery Scam
"Dear customer, complete your e-KYC at http://hdfc-reward.net within 24 hours to avoid permanent account block.",Scam,KYC Update Scam
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
"Dear winner, your mobile number has won a lottery of Rs. 5,000. Send your bank details to claim now.",Scam,Lottery Scam
"Dear Anjali, your OTP for login is 482913. Do not share this with anyone. -SBI",Safe,Not Applicable
"Get a loan at 0% interest, Rs. 1,00,000 approved for you. Send processing charges via UPI now.",Scam,Loan Scam
RBI mandates KYC update. Verify your Canara Bank account at http://income-tax-refund.xyz now to continue banking services.,Scam,KYC Update Scam
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
"Get a loan at 0% interest, Rs. 2,50,000 approved for you. Send processing charges via UPI now.",Scam,Loan Scam
Your Aadhaar linked bank account needs KYC verification. Visit http://income-tax-refund.xyz and enter your details now.,Scam,KYC Update Scam
"Congratulations! You have won Rs. 2,50,000 in the KBC Lucky Draw. Pay processing fee to claim your prize.",Scam,Lottery Scam
Flipkart is hiring urgently. Deposit Rs. 2000 refundable security fee to confirm your job offer.,Scam,Job Scam
Your account is temporarily locked. Reply with the OTP to verify your identity and unlock it.,Scam,OTP Fraud
"Congratulations Sneha, you have successfully completed your Reliance certification course.",Safe,Not Applicable
Reminder from school: parent-teacher meeting is scheduled this Saturday at 10 AM.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
Your Aadhaar linked bank account needs KYC verification. Visit http://bit.ly/verify-kyc and enter your details now.,Scam,KYC Update Scam
"Exclusive IPO allotment guaranteed. Deposit Rs. 10,000 now to secure your shares before it's too late.",Scam,Investment Scam
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
"Congrats! Your number won Rs. 50,000 cash prize from Google Lucky Draw. Pay Rs.500 fee to release amount.",Scam,Lottery Scam
"Your electricity bill is unpaid, disconnection tonight. Pay immediately at http://income-tax-refund.xyz to avoid cut-off.",Scam,Phishing Link
"Work from home and earn Rs. 10,000 per month! No experience needed, just pay Rs. 999 registration fee.",Scam,Job Scam
Your order from Flipkart has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
"Get a loan at 0% interest, Rs. 1,00,000 approved for you. Send processing charges via UPI now.",Scam,Loan Scam
"Dear customer, your ATM card is blocked. Share OTP received on your phone to reactivate it now.",Scam,OTP Fraud
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
"Dear winner, your mobile number has won a lottery of Rs. 25,000. Send your bank details to claim now.",Scam,Lottery Scam
"Dear Vikram, your OTP for login is 482913. Do not share this with anyone. -PNB",Safe,Not Applicable
"You have been selected as the winner of Rs. 25,00,000 in Airtel Lucky Draw 2026. Contact us to claim.",Scam,Lottery Scam
"Your Bank of Baroda credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
"Double your money in 7 days! Invest Rs. 2,50,000 in our crypto trading plan, guaranteed high returns.",Scam,Investment Scam
"Join our stock tips group, invest Rs. 5,000 today and earn 300% guaranteed profit in one week.",Scam,Investment Scam
Your order from Infosys has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
"Dear customer, your ATM card is blocked. Share OTP received on your phone to reactivate it now.",Scam,OTP Fraud
"Dear Priya, your OTP for login is 482913. Do not share this with anyone. -Kotak Mahindra Bank",Safe,Not Applicable
Your parcel is on hold due to unpaid customs duty. Pay Rs.199 at http://hdfc-reward.net to release delivery.,Scam,Phishing Link
"Hi Rohit, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
Your account is temporarily locked. Reply with the OTP to verify your identity and unlock it.,Scam,OTP Fraud
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
Reminder from school: parent-teacher meeting is scheduled this Saturday at 10 AM.,Safe,Not Applicable
"Congratulations! You have won Rs. 25,000 in the KBC Lucky Draw. Pay processing fee to claim your prize.",Scam,Lottery Scam
"Congrats! Your number won Rs. 5,000 cash prize from Google Lucky Draw. Pay Rs.500 fee to release amount.",Scam,Lottery Scam
You've won a brand new iPhone in our anniversary lucky draw! Click the link to claim your free gift.,Scam,Lottery Scam
