message,label,fraud_type
"Dear customer, complete your e-KYC at http://bit.ly/verify-kyc within 24 hours to avoid permanent account block.",Scam,KYC Update Scam
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
"Congrats! Your number won Rs. 10,000 cash prize from Google Lucky Draw. Pay Rs.500 fee to release amount.",Scam,Lottery Scam
"Dear winner, your mobile number has won a lottery of Rs. 50,000. Send your bank details to claim now.",Scam,Lottery Scam
Thank you for shopping with Flipkart. Your invoice has been emailed to you.,Safe,Not Applicable
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
Your Axis Bank account will be blocked. Share the OTP sent to your number immediately to avoid suspension.,Scam,OTP Fraud
"Instant personal loan of Rs. 50,000 approved! No documents required. Pay processing fee to disburse loan.",Scam,Loan Scam
RBI mandates KYC update. Verify your ICICI Bank account at http://income-tax-refund.xyz now to continue banking services.,Scam,KYC Update Scam
Your loan application is approved. Pay insurance amount of Rs.4999 to get funds credited today.,Scam,Loan Scam
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
Your ICICI Bank statement for last month is now available on net banking. Please review at your convenience.,Safe,Not Applicable
"Congratulations! You have won Rs. 2,50,000 in the KBC Lucky Draw. Pay processing fee to claim your prize.",Scam,Lottery Scam
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
"Pre-approved loan of Rs. 5,000 for Amit. Transfer Rs. 999 GST fee to release the amount instantly.",Scam,Loan Scam
Your parcel is on hold due to unpaid customs duty. Pay Rs.199 at http://gov-refund.co.in to release delivery.,Scam,Phishing Link
"Your Bank of Baroda account has been credited with Rs. 50,000 on your salary date. Available balance updated.",Safe,Not Applicable
"Hi Priya, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
"Congratulations! You have won Rs. 50,000 in the KBC Lucky Draw. Pay processing fee to claim your prize.",Scam,Lottery Scam
"Pre-approved loan of Rs. 5,000 for Priya. Transfer Rs. 999 GST fee to release the amount instantly.",Scam,Loan Scam
"Exclusive IPO allotment guaranteed. Deposit Rs. 5,000 now to secure your shares before it's too late.",Scam,Investment Scam
"Double your money in 7 days! Invest Rs. 1,00,000 in our crypto trading plan, guaranteed high returns.",Scam,Investment Scam
"Earn Rs. 5000 daily by liking YouTube videos. Join now, small joining fee required for training kit.",Scam,Job Scam
"Get govt job without exam, pay Rs. 3500 processing fee and submit documents within 24 hours.",Scam,Job Scam
"You have been selected as the winner of Rs. 25,00,000 in Airtel Lucky Draw 2026. Contact us to claim.",Scam,Lottery Scam
"Join our stock tips group, invest Rs. 1,00,000 today and earn 300% guaranteed profit in one week.",Scam,Investment Scam
"Income tax refund of Rs. 25,000 is pending. Claim it now at http://kyc-update24.com before it expires today.",Scam,Phishing Link
We detected suspicious login. Please share the OTP sent to your mobile to secure your Canara Bank account.,Scam,OTP Fraud
"Dear Sneha, your OTP for login is 482913. Do not share this with anyone. -Canara Bank",Safe,Not Applicable
Your PNB statement for last month is now available on net banking. Please review at your convenience.,Safe,Not Applicable
Your Axis Bank statement for last month is now available on net banking. Please review at your convenience.,Safe,Not Applicable
"Join our stock tips group, invest Rs. 1,00,000 today and earn 300% guaranteed profit in one week.",Scam,Investment Scam
"Work from home and earn Rs. 25,000 per month! No experience needed, just pay Rs. 999 registration fee.",Scam,Job Scam
Your order from Flipkart has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
Your order from Wipro has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
Your parcel is on hold due to unpaid customs duty. Pay Rs.199 at http://kyc-update24.com to release delivery.,Scam,Phishing Link
Your account is temporarily locked. Reply with the OTP to verify your identity and unlock it.,Scam,OTP Fraud
"Get govt job without exam, pay Rs. 3500 processing fee and submit documents within 24 hours.",Scam,Job Scam
URGENT: Axis Bank KYC update pending. Share the 6 digit OTP now or your account will be frozen today.,Scam,OTP Fraud
"Get govt job without exam, pay Rs. 3500 processing fee and submit documents within 24 hours.",Scam,Job Scam
"Hi Kavita, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
URGENT: Kotak Mahindra Bank KYC update pending. Share the 6 digit OTP now or your account will be frozen today.,Scam,OTP Fraud
"Your electricity bill is unpaid, disconnection tonight. Pay immediately at http://sbi-secure-login.in to avoid cut-off.",Scam,Phishing Link
Reminder from school: parent-teacher meeting is scheduled this Saturday at 10 AM.,Safe,Not Applicable
Reminder from school: parent-teacher meeting is scheduled this Saturday at 10 AM.,Safe,Not Applicable
Your order from Infosys has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
"Get a loan at 0% interest, Rs. 5,000 approved for you. Send processing charges via UPI now.",Scam,Loan Scam
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
"Congratulations Vikram, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
"Instant personal loan of Rs. 5,000 approved! No documents required. Pay processing fee to disburse loan.",Scam,Loan Scam
"Instant personal loan of Rs. 2,50,000 approved! No documents required. Pay processing fee to disburse loan.",Scam,Loan Scam
Reminder from school: parent-teacher meeting is scheduled this Saturday at 10 AM.,Safe,Not Applicable
Your PAN card will be deactivated. Update details at http://kyc-update24.com within 2 hours to avoid penalty.,Scam,Phishing Link
Your Aadhaar linked bank account needs KYC verification. Visit http://gov-refund.co.in and enter your details now.,Scam,KYC Update Scam
Your Aadhaar linked bank account needs KYC verification. Visit http://income-tax-refund.xyz and enter your details now.,Scam,KYC Update Scam
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
Your loan application is approved. Pay insurance amount of Rs.4999 to get funds credited today.,Scam,Loan Scam
"Your Canara Bank account has been credited with Rs. 50,000 on your salary date. Available balance updated.",Safe,Not Applicable
"Work from home and earn Rs. 10,000 per month! No experience needed, just pay Rs. 999 registration fee.",Scam,Job Scam
Thank you for shopping with Reliance. Your invoice has been emailed to you.,Safe,Not Applicable
"Dear winner, your mobile number has won a lottery of Rs. 5,000. Send your bank details to claim now.",Scam,Lottery Scam
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
We detected suspicious login. Please share the OTP sent to your mobile to secure your PNB account.,Scam,OTP Fraud
"Your Canara Bank account has been credited with Rs. 25,000 on your salary date. Available balance updated.",Safe,Not Applicable
"Get govt job without exam, pay Rs. 3500 processing fee and submit documents within 24 hours.",Scam,Job Scam
"Hi Anjali, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
Thank you for shopping with Infosys. Your invoice has been emailed to you.,Safe,Not Applicable
Your account is temporarily locked. Reply with the OTP to verify your identity and unlock it.,Scam,OTP Fraud
Thank you for shopping with Flipkart. Your invoice has been emailed to you.,Safe,Not Applicable
URGENT: HDFC Bank KYC update pending. Share the 6 digit OTP now or your account will be frozen today.,Scam,OTP Fraud
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
RBI mandates KYC update. Verify your Axis Bank account at http://bit.ly/verify-kyc now to continue banking services.,Scam,KYC Update Scam
"Dear customer, complete your e-KYC at http://income-tax-refund.xyz within 24 hours to avoid permanent account block.",Scam,KYC Update Scam
"Your electricity bill is unpaid, disconnection tonight. Pay immediately at http://sbi-secure-login.in to avoid cut-off.",Scam,Phishing Link
"Earn Rs. 5000 daily by liking YouTube videos. Join now, small joining fee required for training kit.",Scam,Job Scam
You've won a brand new iPhone in our anniversary lucky draw! Click the link to claim your free gift.,Scam,Lottery Scam
"Double your money in 7 days! Invest Rs. 50,000 in our crypto trading plan, guaranteed high returns.",Scam,Investment Scam
"Income tax refund of Rs. 2,50,000 is pending. Claim it now at http://bit.ly/verify-kyc before it expires today.",Scam,Phishing Link
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
Thank you for shopping with TCS. Your invoice has been emailed to you.,Safe,Not Applicable
Your Axis Bank KYC has expired. Click http://hdfc-reward.net to update immediately or account will be suspended.,Scam,KYC Update Scam
"Dear customer, your ATM card is blocked. Share OTP received on your phone to reactivate it now.",Scam,OTP Fraud
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
"Dear Rahul, your OTP for login is 482913. Do not share this with anyone. -Canara Bank",Safe,Not Applicable
Reminder from school: parent-teacher meeting is scheduled this Saturday at 10 AM.,Safe,Not Applicable
Your parcel is on hold due to unpaid customs duty. Pay Rs.199 at http://hdfc-reward.net to release delivery.,Scam,Phishing Link
"Income tax refund of Rs. 5,000 is pending. Claim it now at http://hdfc-reward.net before it expires today.",Scam,Phishing Link
Your Kotak Mahindra Bank KYC has expired. Click http://bit.ly/verify-kyc to update immediately or account will be suspended.,Scam,KYC Update Scam
"Pre-approved loan of Rs. 1,00,000 for Anjali. Transfer Rs. 999 GST fee to release the amount instantly.",Scam,Loan Scam
RBI mandates KYC update. Verify your Axis Bank account at http://bit.ly/verify-kyc now to continue banking services.,Scam,KYC Update Scam
"Your electricity bill is unpaid, disconnection tonight. Pay immediately at http://kyc-update24.com to avoid cut-off.",Scam,Phishing Link
Your PAN card will be deactivated. Update details at http://bit.ly/verify-kyc within 2 hours to avoid penalty.,Scam,Phishing Link
We detected suspicious login. Please share the OTP sent to your mobile to secure your ICICI Bank account.,Scam,OTP Fraud
"Hi Vikram, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
Your PNB statement for last month is now available on net banking. Please review at your convenience.,Safe,Not Applicable
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
"Your SBI credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
"Congratulations Vikram, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
"Hi Priya, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
"Instant personal loan of Rs. 2,50,000 approved! No documents required. Pay processing fee to disburse loan.",Scam,Loan Scam
URGENT: Bank of Baroda KYC update pending. Share the 6 digit OTP now or your account will be frozen today.,Scam,OTP Fraud
We detected suspicious login. Please share the OTP sent to your mobile to secure your Axis Bank account.,Scam,OTP Fraud
Thank you for shopping with Wipro. Your invoice has been emailed to you.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
Reminder from school: parent-teacher meeting is scheduled this Saturday at 10 AM.,Safe,Not Applicable
"You have been selected as the winner of Rs. 25,00,000 in Airtel Lucky Draw 2026. Contact us to claim.",Scam,Lottery Scam
"Your HDFC Bank credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
"Your PNB account has been credited with Rs. 2,50,000 on your salary date. Available balance updated.",Safe,Not Applicable
Your account is temporarily locked. Reply with the OTP to verify your identity and unlock it.,Scam,OTP Fraud
Your parcel is on hold due to unpaid customs duty. Pay Rs.199 at http://sbi-secure-login.in to release delivery.,Scam,Phishing Link
"Your electricity bill is unpaid, disconnection tonight. Pay immediately at http://sbi-secure-login.in to avoid cut-off.",Scam,Phishing Link
Your Canara Bank statement for last month is now available on net banking. Please review at your convenience.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
"Congratulations! You have won Rs. 2,50,000 in the KBC Lucky Draw. Pay processing fee to claim your prize.",Scam,Lottery Scam
Your Kotak Mahindra Bank statement for last month is now available on net banking. Please review at your convenience.,Safe,Not Applicable
"Congratulations Amit, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
Your PAN card will be deactivated. Update details at http://bit.ly/verify-kyc within 2 hours to avoid penalty.,Scam,Phishing Link
"Double your money in 7 days! Invest Rs. 10,000 in our crypto trading plan, guaranteed high returns.",Scam,Investment Scam
Thank you for shopping with Flipkart. Your invoice has been emailed to you.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
"Your Axis Bank credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
"Instant personal loan of Rs. 10,000 approved! No documents required. Pay processing fee to disburse loan.",Scam,Loan Scam
"You have been selected as the winner of Rs. 25,00,000 in Airtel Lucky Draw 2026. Contact us to claim.",Scam,Lottery Scam
"Earn Rs. 5000 daily by liking YouTube videos. Join now, small joining fee required for training kit.",Scam,Job Scam
"Get govt job without exam, pay Rs. 3500 processing fee and submit documents within 24 hours.",Scam,Job Scam
"Pre-approved loan of Rs. 25,000 for Vikram. Transfer Rs. 999 GST fee to release the amount instantly.",Scam,Loan Scam
RBI mandates KYC update. Verify your Axis Bank account at http://income-tax-refund.xyz now to continue banking services.,Scam,KYC Update Scam
"Congratulations Vikram, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
You've won a brand new iPhone in our anniversary lucky draw! Click the link to claim your free gift.,Scam,Lottery Scam
"Dear customer, complete your e-KYC at http://hdfc-reward.net within 24 hours to avoid permanent account block.",Scam,KYC Update Scam
"Congratulations Rohit, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
"Exclusive IPO allotment guaranteed. Deposit Rs. 5,000 now to secure your shares before it's too late.",Scam,Investment Scam
"Exclusive IPO allotment guaranteed. Deposit Rs. 2,50,000 now to secure your shares before it's too late.",Scam,Investment Scam
"Pre-approved loan of Rs. 10,000 for Sneha. Transfer Rs. 999 GST fee to release the amount instantly.",Scam,Loan Scam
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
"Congrats! Your number won Rs. 2,50,000 cash prize from Google Lucky Draw. Pay Rs.500 fee to release amount.",Scam,Lottery Scam
"Congratulations Rohit, you have successfully completed your Reliance certification course.",Safe,Not Applicable
"You have been selected as the winner of Rs. 25,00,000 in Airtel Lucky Draw 2026. Contact us to claim.",Scam,Lottery Scam
"Get govt job without exam, pay Rs. 3500 processing fee and submit documents within 24 hours.",Scam,Job Scam
"Join our stock tips group, invest Rs. 50,000 today and earn 300% guaranteed profit in one week.",Scam,Investment Scam
Your loan application is approved. Pay insurance amount of Rs.4999 to get funds credited today.,Scam,Loan Scam
"Join our stock tips group, invest Rs. 2,50,000 today and earn 300% guaranteed profit in one week.",Scam,Investment Scam
Your PAN card will be deactivated. Update details at http://sbi-secure-login.in within 2 hours to avoid penalty.,Scam,Phishing Link
Your order from Reliance has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
"You have been selected as the winner of Rs. 25,00,000 in Airtel Lucky Draw 2026. Contact us to claim.",Scam,Lottery Scam
